paragraph,label
"Versatile, facile, easy, and economical, these are the advantages that immersion precipitation or non-solvent phase separation (NIPS) offers [1-3]. Due to these, NIPS process has been regarded as the most widely-used approach in fabricating flat sheet membranes from a variety of polymers [4]. In addition, NIPS can provide a wide-range of pore size: from microfiltration to nanofiltration [5]. In this process, a polymer of choice is dissolved in a suitable solvent. Once homogeneous, the polymeric solution is cast onto a support and phase-inversion is prompted through direct immersion in a coagulation bath/non-solvent bath (typically water), generating a polymer rich phase that transforms into the membrane matrix after polymer precipitation, and a polymer lean phase which develops into pores after demixing [6].",n
"Polysulfone (PSf) membrane is amongst the most extensively used commercial membranes due to its favorable attributes such as high glass transition temperature (Tg = 190 degC), high mechanical strength, good chemical resistance over a wide-range of pH, good thermal resistance, exceptional biocompatibility, and ease of fabrication [7-9]. PSf membranes are commonly used in wastewater treatment [10-14], hemodialysis [15-17], protein purification [18-22], food processing [23], and so on. Polar solvents like N-methyl-2-pyrrolidone (NMP) [1,24-27], N,N-dimethylformamide (DMF) [9,28-31], and N,N-dimethylacetamide (DMAc) [32-35] are usually used to dissolved PSf polymers. Utilizing these solvents to prepare PSf membranes via NIPS process generally leads to formation of ultrafiltration (UF) membranes with relatively dense surface structure and porous sub-structure. Meanwhile, the cross-section of these membranes is composed of large macrovoids with walls having cellular-like structure [36] which could generate low flux due to the closed-pore structure (the pores are not interconnected with each other) that could potentially slow down the flow of water across the membrane. Additionally, concerns have been expressed on the use of such solvents to prepare polymeric membranes due to their toxicity which can cause adverse effects to our health. Besides, during NIPS process, these solvents are released into the coagulation bath during the membrane formation, and residual solvents are further extracted in the washing bath. These constitute to the release of 20-50 billion liters of contaminated water annually [1,37], and if not properly treated, can create immense damages to the environment. Hence, the use of these solvents in industries are now strictly regulated. In May 2020, the European Union has imposed a mandate on the use of NMP which has led researchers to find ""greener"" and more sustainable solvents [24,37] that have high affinity towards the PSf polymer. Alongside the prospect of tuning the morphology and suppressing macrovoids using alternative solvents.",n
"As a result of the raising interest to improve the sustainability of PSf membrane production, several different solvents have been investigated in the past with respect to their suitability for replacing harmful solvents. In recent studies conducted by Kahrs and Schwellenbach [38], Wang et al. [39,40], Mousavi and Zadhoush [41], and Mousavi et al. [42] the use of utilizing 2-pyrrolidone (2P) solvent as a substitute for NMP was explored. 2P is an organic compound derived from g-butyrolactone with considerable similarities with NMP as shown in Table 1. To date, there are no known life-threatening risks accompanied by using 2P, making it a potential alternative for NMP.",n
"Standard NIPS process yield skinned asymmetric membranes with large macrovoids that could either have closed pore (cellular) structure or interconnected open pore (bi-continuous structure) [39,43]. Macrovoids are defects that grow perpendicular or near perpendicular to the skin or top layer [44]. They are large in size, and have elongated or teardrop-shaped pores ranging from 10 to 50 mm [45]. The presence of these large macrovoids can weaken the structural integrity of the membranes which can lead to breakage and total failure during operation [46]. Since the first development of phase-inversion process by Leob and Sourirajan in the 1960's [47], macrovoid formation have confounded researchers which has led to the development of different studies to understand macrovoid formation [39,44,48]. Numerous models were proposed for the formation of macrovoids. Early on, Reuvers and Smolders suggested that macrovoids were formed as the result of the nucleation of the polymer poor phase [49]. Strathmann et al. explained that the macrovoid was initiated by the rupture of the polymeric skin caused by shrinkage stress-induced-syneresis [50]. Other researchers considered that macrovoid formation stemmed from the thermodynamics aspects of chemical potential gradient [43,51-53]. Additional theories include Marangoni effects [54], solutocapillary convection mechanism [55-57], osmotic pressure [58] and combination of different mechanisms [59]. Nonetheless, several methods have been investigated to reduce macrovoid formation during immersion precipitation due to their weak mechanical strength. These include (i) choosing a solvent and non-solvent pair with low affinity towards each other; (ii) increasing the viscosity of the casting solution by increasing the polymer concentration or adding additives; and (iii) adding solvent to the coagulation bath [39,43,60-62].",n
"Although adding solvent to the coagulation bath seem to be the easiest option however, this could lead to increased production costs and pollution. The addition of additives has been the most explored strategies to mitigate the growth of macrovoids, and adding amounts of hydrophilic polymers such polyvinyl pyrrolidone (PVP) or polyethylene glycol (PEG) are the most predominant [63-65]. Some studies revealed that the addition of these hydrophilic polymers can enlarge the size of the macrovoids, while other studies reported the opposite as highlighted in the study by Sadrzadeh and Bhattacharjee [64]. These inconsistencies could be due to the fact that PVP and PEG are originally utilized as pore formers for polymeric membranes. They form pores as they leach out of the cast film upon immersion in the coagulation bath. However, depending on the molecular weights of the PVP and PEG [64], some can get trapped in the polymeric matrix. Therefore, the molecular weights of these materials have to be taken into great considerations before being used to suppress macrovoids. On the other hand, other researchers have used non-solvents such as water [24,38,39,66], ethanol [65] and other organic solvents [66,67] to control the exchange rates of the solvent and coagulant. Among these, water appear to be the most logical option due to its accessibility, abundancy, low-cost, and non-toxicity.",n
"As of this writing, there are only 4 published works on PSf/2P system. Mousavi and colleagues intensively worked on the dynamics of using 2P as a sole solvent for PSf, and a co-solvent, and how the rheology of these conditions contributed to the resulting cross-section structure of PSf membranes [41,42]. Since standard NIPS process produce ultrafiltration PSf membrane, Wang et al. in their earlier work [40], explored the use of vapor-induced phase separation (VIPS) process to obtain PSf membranes with highly porous surface and cross-section. Recently, Wang and colleagues observed the macrovoid initiation position in PSf/2P system prepared by NIPS process [39]. These previous works have provided initial understanding on the solvency of PSf in 2P, and on how the viscoelasticity of the casting solution affects the cross-section of PSf membranes. It is important to note that, except for the work on PSf/2P using VIPS process, the other studies only focused on the morphology of the cross-section of PSf membranes, specifically on the growth of macrovoids.",n
"This study encompasses two major objectives: (i) fabrication of highly porous PSf membranes through NIPS process using 2P as the solvent, and (ii) the suppression of macrovoid growth by using water as a non-solvent additive in the PSf/2P casting solution. Although, other studies [38,39] have previously explored the feasibility of this concept, they have not fully determined the amount of water that can be added to achieve macrovoid-free PSf membranes. Moreover, in this study, in-depth evaluations of the physical properties such morphology, porosity, pore size, permeability, and mechanical property of the PSf membranes with respect to the concentration of the additive are thoroughly carried out. Fig. 1 shows the three major parts of this study. The first part, heavily revolves on trying to understand how the nature of solvency of 2P affects the morphology of the PSf membranes, and its viability as a replacement for NMP solvent. Next, once the fundamental concepts of 2P/PSf system are established, the use of water as an additive in the casting solution to suppress macrovoids is examined. Herein, we shall probe into the viscosity of the solution, study the ternary diagram, and investigate the kinetics that took place during phase-inversion. In addition, comprehensive analysis of the physical properties of the membranes such as porosity, pore size, morphology, permeability, and mechanical properties will be examined. Lastly, the potential application of this concept will also be extended to other systems such as PSf/NMP, PSf/DMAc, and PSf/DMF to test the practicality of using water to suppress macrovoids.",n
"The polymer polysulfone (PSf, Udel(r) P-3500, Mw = 50,800 Da, Mn = 33,500 Da, r = 1.24 g/cm3) was acquired from the Amoco Performance Products Inc. (Ridgefield, CT, USA). The solvents N-methyl-2-pyrrolidinone (NMP, r = 1.03 g/cm3), dimethylacetamide (DMAc, r = 0.940 g/cm3) and dimethylformamide (DMF, 0.944 g/cm3) of reagent grades were purchased from Uni-Onward Corp., Taiwan, while reagent grade 2-pyrrolidinone (2P, r = 1.12 g/cm3) was procured from Acros Organics. All the chemicals were used without further purification. DI water was produced in our lab using an Elga Purelab(r) water purification system.",y
"A typical casting solution was prepared by dissolving PSf polymer in 2P solvent. To prepare the pristine casting solutions, 8, 10, 12 and 15 wt% of PSf polymer were added into the 2P solvent. Meanwhile, to prepare the modified casting solutions, respective amount (wt%) of non-solvent additive (water) was added into the bottle containing 2P, and mixed well for a couple of minutes. Followed by the addition of PSf polymer. The amount of water added was determined based on the cloud point experiment (section 2.2.3). All the casting solutions were dissolved at 60 degC in an oil bath for 1-2 days. Both the casting solutions and membranes are named as Px-Dy in which x and y denote the concentrations of PSf and additive in wt%, respectively. For instance, P8-D1.5 indicates 8 wt% of PSf and 1.5 wt% of DI water. As a point of comparison with different systems, casting solutions of PSf/NMP, PSf/NMP/water, PSf/DMAc, PSf/DMAc/water, PSf/DMF, and PSf/DMF/water were also prepared.",y
"All rheological experiments of the casting solutions were evaluated on a TA instrument (Discovery HR20) using parallel plate geometry with a diameter of 20 mm (Peltier plate). All measurements were carried out at 25 degC with test duration ranging from 3 to 4 min per sample. The zero-shear viscosity of PSf/2P, PSf/2P/water, PSf/NMP and PSf/NMP/water solutions were measured at the shear rate of 10/s. Meanwhile, the storage modulus (G') and loss modulus (G'') of the casting solutions were measured at a constant strain rate of 2%, and monitored at angular frequency ranging from 0.5 rad/s to 628 rad/s.",n
