,paragraph,label,word_count,split,dictionary
7,"The polymer polysulfone (PSf, Udel(r) P-3500, Mw = 50,800 Da, Mn = 33,500 Da, r = 1.24 g/cm3) was acquired from the Amoco Performance Products Inc. (Ridgefield, CT, USA). The solvents N-methyl-2-pyrrolidinone (NMP, r = 1.03 g/cm3), dimethylacetamide (DMAc, r = 0.940 g/cm3) and dimethylformamide (DMF, 0.944 g/cm3) of reagent grades were purchased from Uni-Onward Corp., Taiwan, while reagent grade 2-pyrrolidinone (2P, r = 1.12 g/cm3) was procured from Acros Organics. All the chemicals were used without further purification. DI water was produced in our lab using an Elga Purelab(r) water purification system.",y,93,"The polymer polysulfone (PSf, Udel(r) P-3500, Mw = 50,800 Da, Mn = 33,500 Da, r = 1.24 g/cm3) was acquired from the Amoco Performance Products Inc. (Ridgefield, CT, USA). The solvents N-methyl-2-pyrrolidinone (NMP, r = 1.03 g/cm3), dimethylacetamide (DMAc, r = 0.940 g/cm3) and dimethylformamide (DMF, 0.944 g/cm3) of reagent grades were purchased from Uni-Onward Corp., Taiwan, while reagent grade 2-pyrrolidinone (2P, r = 1.12 g/cm3) was procured from Acros Organics. All the chemicals were used without further purification. DI water was produced in our lab using an Elga Purelab(r) water purification system.","{""polymer"":, ""solvent"":, ""additives"":, ""polymer concentration"":, ""amount of polymer"", ""amount of solvent"", ""synthesis temperature"", ""synthesis time"":}"
8,"A typical casting solution was prepared by dissolving PSf polymer in 2P solvent. To prepare the pristine casting solutions, 8, 10, 12 and 15 wt% of PSf polymer were added into the 2P solvent. Meanwhile, to prepare the modified casting solutions, respective amount (wt%) of non-solvent additive (water) was added into the bottle containing 2P, and mixed well for a couple of minutes. Followed by the addition of PSf polymer. The amount of water added was determined based on the cloud point experiment (section 2.2.3). All the casting solutions were dissolved at 60 degC in an oil bath for 1-2 days. Both the casting solutions and membranes are named as Px-Dy in which x and y denote the concentrations of PSf and additive in wt%, respectively. For instance, P8-D1.5 indicates 8 wt% of PSf and 1.5 wt% of DI water. As a point of comparison with different systems, casting solutions of PSf/NMP, PSf/NMP/water, PSf/DMAc, PSf/DMAc/water, PSf/DMF, and PSf/DMF/water were also prepared.",y,161,"A typical casting solution was prepared by dissolving PSf polymer in 2P solvent. To prepare the pristine casting solutions, 8, 10, 12 and 15 wt% of PSf polymer were added into the 2P solvent. Meanwhile, to prepare the modified casting solutions, respective amount (wt%) of non-solvent additive (water) was added into the bottle containing 2P, and mixed well for a couple of minutes. Followed by the addition of PSf polymer. The amount of water added was determined based on the cloud point experiment (section 2.2.3). All the casting solutions were dissolved at 60 degC in an oil bath for 1-2 days. Both the casting solutions and membranes are named as Px-Dy in which x and y denote the concentrations of PSf and additive in wt%, respectively. For instance, P8-D1.5 indicates 8 wt% of PSf and 1.5 wt% of DI water. As a point of comparison with different systems, casting solutions of PSf/NMP, PSf/NMP/water, PSf/DMAc, PSf/DMAc/water, PSf/DMF, and PSf/DMF/water were also prepared.","{""polymer"":, ""solvent"":, ""additives"":, ""polymer concentration"":, ""amount of polymer"", ""amount of solvent"", ""synthesis temperature"", ""synthesis time"":}"
78,"Polysulfone (PSF) (Udel P-1700 LCD) was acquired from Solvay Co., LTD. and N, N-dimethylacetamide (DMAc) from Samsung Co. LTD. PEG 4000 was bought from Tianjin Fukang Co. LTD while dodecyl trimethyl ammonium chloride (DTAC), sodium oleate (SO) and sodium dodecyl benzenesulfonate (SDBS) were purchased from Tianjin Siensi Opde technology Co., LTD. Sodium dodecyl sulfate (SDS) was purchased from Rare Chemical Reagents Factory. Bovine Serum Albumin (BSA) was bought from Beijing PuBoXin biotechnology Co., LTD.",y,74,"Polysulfone (PSF) (Udel P-1700 LCD) was acquired from Solvay Co., LTD. and N, N-dimethylacetamide (DMAc) from Samsung Co. LTD. PEG 4000 was bought from Tianjin Fukang Co. LTD while dodecyl trimethyl ammonium chloride (DTAC), sodium oleate (SO) and sodium dodecyl benzenesulfonate (SDBS) were purchased from Tianjin Siensi Opde technology Co., LTD. Sodium dodecyl sulfate (SDS) was purchased from Rare Chemical Reagents Factory. Bovine Serum Albumin (BSA) was bought from Beijing PuBoXin biotechnology Co., LTD.","{""polymer"":, ""solvent"":, ""additives"":, ""polymer concentration"":, ""amount of polymer"", ""amount of solvent"", ""synthesis temperature"", ""synthesis time"":}"
82,"Polymer solutions with PSF, PEG-4000, and different surfactants were prepared using DMAc as solvent and then was stirred at least 5 h at 343.15 K. The homogenous dope solutions were degassed at 343.15 K until no air bubbles existed. The homogenous dope solutions were evenly casted on a glass plate. Then, the glass plate was promptly immerged into coagulant (water) at 298.15 K. The resulting membrane was then reserved in tap water to clear out the remaining additives and solvent. The detailed compositions of the dope solutions are showed in Table 2.",y,92,"Polymer solutions with PSF, PEG-4000, and different surfactants were prepared using DMAc as solvent and then was stirred at least 5 h at 343.15 K. The homogenous dope solutions were degassed at 343.15 K until no air bubbles existed. The homogenous dope solutions were evenly casted on a glass plate. Then, the glass plate was promptly immerged into coagulant (water) at 298.15 K. The resulting membrane was then reserved in tap water to clear out the remaining additives and solvent. The detailed compositions of the dope solutions are showed in Table 2.","{""polymer"":, ""solvent"":, ""additives"":, ""polymer concentration"":, ""amount of polymer"", ""amount of solvent"", ""synthesis temperature"", ""synthesis time"":}"
115,"Basil seeds were supplied via Reyhan Gum Parsian, Iran. Commercial polyphenylsulfone (PPSU, Ultrason P3010 MR; Mw=35,000 g.mol-1) and polysulfone (PSf, Ultrason(r) 6010 P) were supplied via BASF (Ludwigshafen, Germany). Polyvinylpyrrolidone (PVP; k30), direct yellow, and Methyl Green were obtained from Merck, Germany. Methylene blue, 1,4-benzendicarboxylic acid, N, N-dimethylformamide (DMF), 1,4-dioxane, and Crystal Violet were supplied by PubChem.",y,57,"Basil seeds were supplied via Reyhan Gum Parsian, Iran. Commercial polyphenylsulfone (PPSU, Ultrason P3010 MR; Mw=35,000 g.mol-1) and polysulfone (PSf, Ultrason(r) 6010 P) were supplied via BASF (Ludwigshafen, Germany). Polyvinylpyrrolidone (PVP; k30), direct yellow, and Methyl Green were obtained from Merck, Germany. Methylene blue, 1,4-benzendicarboxylic acid, N, N-dimethylformamide (DMF), 1,4-dioxane, and Crystal Violet were supplied by PubChem.","{""polymer"":, ""solvent"":, ""additives"":, ""polymer concentration"":, ""amount of polymer"", ""amount of solvent"", ""synthesis temperature"", ""synthesis time"":}"
116,"Here, for enhancing the basil seeds purity, impurities washed away with DI water and ethanol, consecutively, and then, the seeds dried at 25 degC. Next, the purified basil seeds were soaked in DI water at 25 degC for 40 min, leading to swelling their outer layer as a gelatinous layer around the seeds. After that, in order to improve the extraction efficiency, NaOH solution (2%wt.) was added drop-wise into the BSM mixture solution under stirring until adjusting pH to 8, which was conducted for 9 h at 70 degC, after which the extracted BSM and the seeds were completely separated from each other. Eventually, using decantation and centrifuging at 8000 rpm for 20 min, BSM was separated. The mucilage hydrogel extraction process is shown in Scheme 1.",y,127,"Here, for enhancing the basil seeds purity, impurities washed away with DI water and ethanol, consecutively, and then, the seeds dried at 25 degC. Next, the purified basil seeds were soaked in DI water at 25 degC for 40 min, leading to swelling their outer layer as a gelatinous layer around the seeds. After that, in order to improve the extraction efficiency, NaOH solution (2%wt.) was added drop-wise into the BSM mixture solution under stirring until adjusting pH to 8, which was conducted for 9 h at 70 degC, after which the extracted BSM and the seeds were completely separated from each other. Eventually, using decantation and centrifuging at 8000 rpm for 20 min, BSM was separated. The mucilage hydrogel extraction process is shown in Scheme 1.","{""polymer"":, ""solvent"":, ""additives"":, ""polymer concentration"":, ""amount of polymer"", ""amount of solvent"", ""synthesis temperature"", ""synthesis time"":}"
117,"First, for the fabrication of the mixed matrix membranes, different amounts of the BSM hydrogel were first added into the DMF/1,4-dioxane/PVP mixtures, followed by sonication for 2 h to prepare homogeneous mixtures. In the next step, PPSf/PSf with a concentration of 18 wt% was added into the as-prepared mixtures and completely dissolved after continuously stirring at RT for 24 h. The homogenous polymer solution was de-gassed using a desiccator apparatus for 30 min and cast on a glass plate in a climatic box (relative humidity of 65 +- 5% and temperature 40 degC) for 10 s using a Doctor Blade device with a gap of 200 um (the VIPS step), and then, transferred to coagulation bath (the NIPS step). Finally, the prepared membranes were taken out of the bath and kept in DI water until conducting the separation tests. The neat membrane was also prepared by the same method, except that no BSM was added to the polymer mixture. The composition of casting solutions are exhibited in Table 1.",y,169,"First, for the fabrication of the mixed matrix membranes, different amounts of the BSM hydrogel were first added into the DMF/1,4-dioxane/PVP mixtures, followed by sonication for 2 h to prepare homogeneous mixtures. In the next step, PPSf/PSf with a concentration of 18 wt% was added into the as-prepared mixtures and completely dissolved after continuously stirring at RT for 24 h. The homogenous polymer solution was de-gassed using a desiccator apparatus for 30 min and cast on a glass plate in a climatic box (relative humidity of 65 +- 5% and temperature 40 degC) for 10 s using a Doctor Blade device with a gap of 200 um (the VIPS step), and then, transferred to coagulation bath (the NIPS step). Finally, the prepared membranes were taken out of the bath and kept in DI water until conducting the separation tests. The neat membrane was also prepared by the same method, except that no BSM was added to the polymer mixture. The composition of casting solutions are exhibited in Table 1.","{""polymer"":, ""solvent"":, ""additives"":, ""polymer concentration"":, ""amount of polymer"", ""amount of solvent"", ""synthesis temperature"", ""synthesis time"":}"
150,"N,N-methyl-pyrrolidone (NMP, >=99.0% purity) purchased from Shanghai Taitan, Ltd. (Shanghai, China) was used as solvent and deionized water was used as non-solvent in the NIPS processes. Polysulfone (PSF, S6010) was purchased from Dongguan Haosheng Plastic Material Company and dried under vacuum at 60 degC for 12 h before use. Polyvinylpyrrolidone (PVP, >98%)) and 2-methylimidazole (2MIM, Analytical Grade) were purchased from Aladdin, Shanghai. Zn (NO3) 2*6H2O was purchased from Sinopharm Chemical Reagent Company. Congo Red (CR), Methyl Orange (MO) and Methylene Blue (MBe) were purchased from Aladdin (Shanghai) Reagent Company, Shanghai Maclean Biochemical Technology Company and Sinopharm Chemical Reagent company respectively. Polyethylene terephthalate (PET) NWF was purchased from Hangzhou Water Treatment Center.",y,111,"N,N-methyl-pyrrolidone (NMP, >=99.0% purity) purchased from Shanghai Taitan, Ltd. (Shanghai, China) was used as solvent and deionized water was used as non-solvent in the NIPS processes. Polysulfone (PSF, S6010) was purchased from Dongguan Haosheng Plastic Material Company and dried under vacuum at 60 degC for 12 h before use. Polyvinylpyrrolidone (PVP, >98%)) and 2-methylimidazole (2MIM, Analytical Grade) were purchased from Aladdin, Shanghai. Zn (NO3) 2*6H2O was purchased from Sinopharm Chemical Reagent Company. Congo Red (CR), Methyl Orange (MO) and Methylene Blue (MBe) were purchased from Aladdin (Shanghai) Reagent Company, Shanghai Maclean Biochemical Technology Company and Sinopharm Chemical Reagent company respectively. Polyethylene terephthalate (PET) NWF was purchased from Hangzhou Water Treatment Center.","{""polymer"":, ""solvent"":, ""additives"":, ""polymer concentration"":, ""amount of polymer"", ""amount of solvent"", ""synthesis temperature"", ""synthesis time"":}"
151,"Preparation of ZIF-8 particles: Zinc nitrate hexahydrate was dissolved in DI water at a concentration of 1.23 g/100 ml and ultrasound for 20 min. At the same time, 2MIM was dissolved in Methanol at a concentration of 0.9 g/100 ml and ultrasound for 20 min. Then 2-MeIM solution were poured into zinc nitrate solution at a 1:6 vol ratio and let alone for another 12 h. The ZIF-8 particles were separated using centrifuging device, and dried at 30 degC in oven for 1 h before use.",y,86,"Preparation of ZIF-8 particles: Zinc nitrate hexahydrate was dissolved in DI water at a concentration of 1.23 g/100 ml and ultrasound for 20 min. At the same time, 2MIM was dissolved in Methanol at a concentration of 0.9 g/100 ml and ultrasound for 20 min. Then 2-MeIM solution were poured into zinc nitrate solution at a 1:6 vol ratio and let alone for another 12 h. The ZIF-8 particles were separated using centrifuging device, and dried at 30 degC in oven for 1 h before use.","{""polymer"":, ""solvent"":, ""additives"":, ""polymer concentration"":, ""amount of polymer"", ""amount of solvent"", ""synthesis temperature"", ""synthesis time"":}"
152,"18 g of polysulfone (PSF), and various amount of polyvinylpyrrolidone (PVP) and 2-methylimidazole (2MIM) were added to 74 g of N,N-methylpyrrolidone (NMP), as shown in Table 1. By continuous stirring in an oil bath at 50 degC (200 rpm), a homogeneous casting solution was obtained and then stand still overnight to be fully de-foamed. The PET NWF were cut into 16cm x 16 cm piece and then was poured and completely wet by a 30 g/L Zn (NO3) 2*6H2O aqueous solution. After removal of excess liquid, the solution loading weight was measured for the calculation of Zn (NO3)2 loading. The Zn (II)-loaded NWF was then dried in oven at 30 degC for 0.5 h before use. The fully defoamed cast solution was then cast onto the Zn (II)-loaded NWF at a thickness of 250 mm using a coating machine. The coated film was then clamped into two poly-tetrafluoro-ethylene (PTFE) frames with inner diameters 0f 14cm x 14 cm, and then immersed into a 50 degC deionized (DI) water bath for a certain time for phase separation. During the phase separation process, 2MIM from the casting solution and Zn2+ from NWF were continuously ligated to form ZIF-8 NPs in the PSF matrix. In the end, the formed mixed matrix membrane was dried at 30 degC in an oven for 40 min and then sealed and stored in DI-water for testing.",y,229,"18 g of polysulfone (PSF), and various amount of polyvinylpyrrolidone (PVP) and 2-methylimidazole (2MIM) were added to 74 g of N,N-methylpyrrolidone (NMP), as shown in Table 1. By continuous stirring in an oil bath at 50 degC (200 rpm), a homogeneous casting solution was obtained and then stand still overnight to be fully de-foamed. The PET NWF were cut into 16cm x 16 cm piece and then was poured and completely wet by a 30 g/L Zn (NO3) 2*6H2O aqueous solution. After removal of excess liquid, the solution loading weight was measured for the calculation of Zn (NO3)2 loading. The Zn (II)-loaded NWF was then dried in oven at 30 degC for 0.5 h before use. The fully defoamed cast solution was then cast onto the Zn (II)-loaded NWF at a thickness of 250 mm using a coating machine. The coated film was then clamped into two poly-tetrafluoro-ethylene (PTFE) frames with inner diameters 0f 14cm x 14 cm, and then immersed into a 50 degC deionized (DI) water bath for a certain time for phase separation. During the phase separation process, 2MIM from the casting solution and Zn2+ from NWF were continuously ligated to form ZIF-8 NPs in the PSF matrix. In the end, the formed mixed matrix membrane was dried at 30 degC in an oven for 40 min and then sealed and stored in DI-water for testing.","{""polymer"":, ""solvent"":, ""additives"":, ""polymer concentration"":, ""amount of polymer"", ""amount of solvent"", ""synthesis temperature"", ""synthesis time"":}"
